lat,lon,time,frequency
10.5567624,76.1961543,14,3
10.5029376,76.2490766,17,1
10.4913723,76.1636871,17,2
10.5765714,76.2200735,20,3
10.5751914,76.2190682,15,1
10.4798506,76.2208045,13,1
10.5410669,76.1985942,13,2
10.4872864,76.244896,4,5
10.5356305,76.1941725,22,4
10.5905002,76.1880316,23,3
10.5915553,76.2183132,17,3
10.4772631,76.2601356,12,4
10.5257241,76.2242093,19,1
10.49081,76.2577777,20,2
10.5362957,76.2114627,23,5
10.5854958,76.2108067,6,2
10.4799173,76.2474216,11,5
10.489925,76.2776384,22,4
10.508818,76.2274023,13,1
10.4856905,76.2396895,14,3
10.4978597,76.2250753,15,5
10.5042373,76.2040706,10,5
10.5341452,76.2159128,6,3
10.5352616,76.2014966,12,4
10.592982,76.2141475,22,5
10.5024703,76.2331192,13,4
10.495172,76.2588558,3,5
10.5560949,76.2628955,18,1
10.5420366,76.1871182,4,3
10.5512757,76.1663474,21,4
10.5151807,76.2301392,6,3
10.4656377,76.2225303,0,3
10.5904295,76.1705857,9,1
10.5287974,76.2019547,18,3
10.5614151,76.1876608,19,5
10.5016052,76.2055516,22,1
10.5360679,76.1879624,17,5
10.4681493,76.2069532,22,1
10.5104457,76.2247571,15,4
10.5311937,76.2455113,0,5
10.5034219,76.2799915,23,1
10.5742115,76.1685455,18,4
10.5063545,76.2344915,13,3
10.5328688,76.2117833,2,4
10.5626796,76.2164932,15,4
10.508969,76.2141326,16,5
10.5398831,76.2048019,9,4
10.4651908,76.1788183,11,3
10.5562651,76.1771914,18,2
10.4939446,76.2578278,2,4
10.5169887,76.1823459,23,5
10.4861423,76.1466722,8,3
10.5682315,76.2637075,14,1
10.5319053,76.2253546,1,1
10.5711945,76.2088774,9,4
10.5567966,76.1935388,10,4
10.4673397,76.2533972,1,4
10.5040875,76.2246202,0,4
10.4898742,76.203267,10,1
10.535226,76.2169833,9,1
10.5435553,76.2501874,17,4
10.4719766,76.2223828,3,2
10.5117637,76.1956745,20,3
10.5857034,76.1695247,2,4
10.5499722,76.1661582,18,4
10.5858378,76.2024867,17,2
10.5024854,76.2045021,7,4
10.4715001,76.2425074,22,2
10.4912074,76.2812384,8,1
10.501714,76.1659244,13,1
10.4704468,76.2433453,8,5
10.4996325,76.1696876,7,2
10.5213545,76.1753845,3,2
10.4958549,76.1987119,9,4
10.46989,76.2359587,8,4
10.5430711,76.2739633,22,4
10.5183857,76.1839233,4,4
10.4792641,76.2710851,22,2
10.5825677,76.2517017,9,1
10.5516343,76.1723985,0,2
10.5044131,76.1574858,4,5
10.5193729,76.1963251,8,1
10.4979077,76.1860254,19,2
10.5435506,76.2498362,17,3
10.5533326,76.2009587,10,4
10.5119971,76.1773434,9,4
10.5643975,76.1995788,15,1
10.4870061,76.216964,1,2
10.5576414,76.2630183,2,4
10.4985617,76.2679004,23,4
10.5507328,76.2140016,1,2
10.5089539,76.167435,18,5
10.5914359,76.20308,14,1
10.4928997,76.2120762,23,5
10.5628667,76.1585233,20,1
10.4994708,76.2468655,10,3
10.5170168,76.2733921,19,3
10.4903532,76.1925619,2,3
10.5392721,76.2051509,7,5
10.585495,76.2109889,4,4
10.4871692,76.2424209,7,2
10.5512546,76.2228241,7,3
10.5183093,76.1876012,19,3
10.5449604,76.2592766,2,5
10.5022471,76.207945,15,3
10.4633248,76.1902804,0,5
10.5025322,76.1795102,23,4
10.5570903,76.1577751,4,1
10.5862454,76.2219179,11,3
10.5141008,76.2823251,8,2
10.5137086,76.1711443,5,5
10.4617632,76.1891211,6,4
10.5184555,76.2783445,3,5
10.5388854,76.267872,15,3
10.5100451,76.2582583,22,2
10.5129248,76.1636276,8,1
10.540335,76.1911352,9,3
10.5023657,76.2035706,20,3
10.5376913,76.2709097,14,3
10.5134298,76.2502559,4,1
10.4773168,76.1758515,5,3
10.5532937,76.209748,14,2
10.4613964,76.2464428,23,1
10.573201,76.2171,9,2
10.5166306,76.247583,4,1
10.5399557,76.2093185,20,4
10.5878871,76.1835699,16,5
10.4653446,76.2056802,18,1
10.4740699,76.2515094,16,5
10.5566126,76.1607952,7,4
10.461417,76.1959746,15,3
10.4921817,76.2437336,8,1
10.5090781,76.247676,23,4
10.4735406,76.215574,17,2
10.4990832,76.2437683,19,2
10.4852814,76.2242868,21,3
10.4847935,76.2486253,12,3
10.4632174,76.2810524,23,4
10.5369827,76.2100649,22,1
10.5949379,76.2203418,4,5
10.4784523,76.2315746,14,1
10.5171712,76.2742306,19,5
10.5498056,76.2788889,9,4
10.5426156,76.2210065,19,3
10.5128706,76.1769941,6,1
10.5515334,76.1471533,12,5
10.5671713,76.2292063,8,2
10.5939354,76.2287573,21,4
10.5144221,76.233217,16,5
10.4661322,76.2059805,14,5
10.5727703,76.2572826,11,2
10.4909504,76.2421067,6,5
10.5316368,76.1867036,21,3
10.5376462,76.2043398,16,5
10.4932093,76.2665092,13,1
10.4874084,76.1552846,15,5
10.589604,76.2127209,23,5
10.5268001,76.2240241,3,5
10.5279556,76.2345346,22,3
10.5450368,76.1638596,13,2
10.4704468,76.2433453,1,2
10.5448885,76.2164909,13,4
10.5460468,76.2616662,8,4
10.5342246,76.1925634,23,1
10.502442,76.2096853,11,4
10.5533326,76.2009587,23,3
10.4887037,76.2417875,19,5
10.5626444,76.161931,2,5
10.4745059,76.176285,0,5
10.4908679,76.282768,16,2
10.5177039,76.2218306,1,2
10.5248971,76.2396383,18,2
10.5384983,76.2551358,19,4
10.4851462,76.200421,15,3
10.5820329,76.1969317,19,2
10.5052958,76.231812,19,3
10.5213755,76.1815286,19,1
10.4834936,76.1570824,2,1
10.478118,76.1513691,8,5
10.5017463,76.207955,23,1
10.5298338,76.2193791,5,1
10.4950195,76.1616736,0,1
10.4908269,76.2296075,11,5
10.5694268,76.2168477,4,1
10.58232,76.2188722,23,1
10.5647077,76.2468656,5,1
10.5543174,76.1704193,3,2
10.5678912,76.2608825,18,5
10.5800336,76.1981148,12,1
10.4732699,76.228506,9,1
10.5320544,76.2320244,15,4
10.55419,76.2601504,14,5
10.5758045,76.2593987,21,1
10.5671924,76.1627183,14,4
10.5834344,76.1633554,3,3
10.5084414,76.2573369,4,4
10.4632896,76.2201992,11,2
10.5691742,76.2586495,8,3
10.5788962,76.1758738,19,3
10.5136843,76.2001265,16,1
10.4839686,76.2081494,7,5
10.5467345,76.1572562,0,1
10.5013363,76.2001926,21,4
10.477309,76.2119704,7,2
